Observation_Id,Main_Incoming_Water,Packed_Volume,Beer_Brewed_HG,Racked_Volume,Filter_Total_volume,Line_1_Packed_Volume,Line_2_Packed_Volume,Line_3_Packed_Volume,Line_4_Packed_Volume,Line_5_Packed_Volume,Line_6_Packed_Volume
OBS100047,2.92503,23504,12751,8480,19637,4001,0,7233,2657,6561,2534
OBS100048,19.3144,3909,13964.5,13840,21799,1606,2476,8378,3909,6209,2955
OBS100049,31.92485,1304,8350.5,10080,13427,0,0,370,0,0,5195.52
OBS100050,17.40882,4469,12489.5,15396,30702,3818,2797,7151,4469,6710,4647.55
OBS100051,2.90857,27027,13500,13791,24683,4742,3276,7420,2380,6008,2838
OBS100052,2.50536,29836,7975.5,14134,28767,4813,1936,10378,5384,7189,1549
OBS100053,2.78757,18665,6497,10266,16680,3474,2046,8197,3109,0,1244
OBS100054,2.77041,26635,12720,15451,27252,2011,1343,9895,4699,7526,2922
OBS100055,13.78725,5772,18348,16907,19366,0,1437,4428,0,0,4620
OBS100056,50.34364,1164,5933.5,9675,18527,3561,1513,4350,1164,6956,345.5384615
OBS100057,3.17527,24911.27,16510,14001,20907,3975,0,6811,3447,7291,2874
OBS100058,12.10596,5221.6,,7232,12577,0,1618,0,0,0,3603.6
OBS100059,2.58403,29752,15617,13107,24979,3011.5,3133.6,9688.8,4570.47,5625.81,3231.36
OBS100060,2.73042,24245.36,11285,11669,20909,3755,1602,8672,2763,5047,1768
OBS100061,3.30078,26012,17113.5,16460,24700,4074,1996,8977,3497,7041,6270
OBS100062,16.90088,4298,10659.5,18658,18023,0,2207,624,0,0,4937
OBS100063,4.69203,16138,6680,10808,21771,4830,2155,8541,311,45,4299
OBS100064,4.47653,14412.96,14605.5,12013,19873,3672,1222,0,2114,6899,0
OBS100065,4.07579,19027,13882,15012,27111,675,2215,7324,4681,3553,4689
OBS100066,4.41833,17155.79,8487,15592,20643,4449,901,0,4033,7772,0
OBS100067,3.576,23269,13605.5,15067,26594,3612,2368,7266,4286,5507,5225.22
OBS100068,3.91231,20277,16311,14937,21604,3703,0,2894,5439,8241,0
OBS100069,66.94634,1025,10457.5,13207,13982,0,0,0,0,92,4448
OBS100070,4.59398,10603,6378,2872,15568,3119,1377,0,3393,0,2303
OBS100071,11.0489,6299,12176,15342,27408,1714,1289,0,1758,0,1538
OBS100072,6.15629,,13703,17746,24850,0,2509,0,2168,7954,5386
OBS100073,32.41642,1705,7240,14646,25657,1705,0,0,0,0,0
OBS100074,2.57967,32570,14901,11127,31484,4074,2207,8000,3507,9092,5285
OBS100075,3.52466,26133,18290,14970,32900,3957,642,7674,5678,7846,336
OBS100076,2.75812,22044,9358,7988,22953,2867,2302,6547,5701,6840,4079
OBS100077,2.76666,24094,8978,8844,21829,3077,451,6735,5109,7991,573
OBS100078,2.41253,30068,,8151,28704,3476,2097.447,9214,0,6903,4156
OBS100079,23.95215,2090,9307.5,13050,11470,0,0,0,2090,0,0
OBS100080,6.91388,10625,0,0,0,3490,2344,0,0,0,4791
OBS100081,2.70969,21663,10751.5,12321,19768,656,1915,8791,0,4740,5229
OBS100082,3.33958,25614,19366.5,13987,24493,4611,0,7980,5346,7677,0
OBS100083,2.84268,21237,4192.5,13583,11138,3297,2632,3126,4934,3992,2891
OBS100084,5.28941,9001,11231.5,,13542,0,0,0,4323,0,4678
OBS100085,2.65583,25717,7893.5,7654,24478,4505,2084,6197,4477,4840,3092
OBS100086,37.85603,1931,10708,5436,20831,3749,864,8517,1931,6438,3538
OBS100087,4.74038,14598,9545.5,10327,26473,2520,0,4380,2469,4602,0
OBS100088,2.93644,27220,15335.5,13545,28503,3395,1950,9190,5243,7291,2087
OBS100089,2.88517,23464.85,11208.5,12829,13890,3943,985,7672,1836,6064,2756.48
OBS100090,5.17561,13382,9910,16374,22224,4898,1464,1848,3491,824,4943
OBS100091,2.44621,26490,10039.5,11004,24398,4724,1594,8352,4572,2439,4181
OBS100092,2.65642,29088,10150,12245,20430,2789,3084,7977,3524,7172,4312
OBS100093,14.98338,4212,11658,19015,16449,4212,0,0,0,0,0
OBS100094,2.82188,25763,16027,14484,36719,2551,2543,6150,3802,7229,2937
OBS100095,3.29896,27057,20794,5611,25155,3683,1844,9633,4990,5739,4805
OBS100096,6.87286,5254,2073.5,0,21823,1962,0,0,0,3292,0
OBS100097,3.87063,16188.56,15674,2971,12114,4879,1677,0,4456,0,4564.56
OBS100098,3.18122,22255.64,13084.5,14469,20872,1879,1131,4875,4731,6925,2373
OBS100099,3.09942,20520,3202,11827,22221,4368,2615,8465,4768,0,2450.45
OBS100100,3.7363,10679,7655,3909,13293,2452,445,528,2202,4479,2015
OBS100101,3.96583,18016.42,13969.5,17331,24178,3699,2195,0,4030,8092,0
OBS100102,3.32611,21683,9799.5,13530,14689,3582,306,6675,2675,4765,3056
OBS100103,7.8914,4420,3955.5,6700,9583,0,0,684,2885,0,4210.92
OBS100104,2.68597,26806,8236.5,15040,28728,4223,2540,6084,3880,4809,4707
OBS100105,17.14532,3482,647,11216,21218,2061,1124,5278,3482,,3747
OBS100106,2.90611,26169,17369,13690,30135,4085,0,8955,4781,8040,4012.8
OBS100107,3.03621,26836.06,15877,11216,17530,2869,1365,8542,5932,3479,4060.06
OBS100108,3.34081,20070,14088,10979,22037,0,2038,2611,5530,6222,3189
OBS100109,21.57611,2411,5941.5,8518,17070,1286,678,0,293,0,4191
OBS100110,3.32395,28051,19127.5,19535,34657,4009,2195,9156,5143,7174,3365
OBS100111,8.20343,5427,8787.5,9177,14820,0,0,0,0,0,5427
OBS100112,5.77697,9093,8005,13455,12843,2096,0,0,0,6997,0
OBS100113,2.89562,24209,12761,10837,27174,3356,2490,2959,4330,6031,4411
OBS100114,4.15232,19866,17911.5,14958,26771,4427.44,250.83,4948,2821.58,7731,2838
OBS100115,7.66644,8772,8605,14147,12314,2675,1130,0,3105,0,1862
OBS100116,3.29742,20698,14947,13769,13901,3897,2727,0,5072,3283,5399
OBS100117,3.43379,18548,15112,7072,17805,4710,1863,8746,3221,563,4072
OBS100118,2.97083,28487,12928,13636,30145,2866,2487,8852,5047,8548,3543
OBS100119,4.13607,20887,20656.5,11204,27988,4232,0,2034,5745,8164,712
OBS100120,2.95092,23779,10974.5,13666,24754,3676,1145,9349,4868,4680,280
OBS100121,4.54049,15024.82,17402,14246,17918,0,1645,0,4886,8494,0
OBS100122,3.13728,20527.35,8219.5,13319,24960,2366,1481,4820,5641,5685,0
OBS100123,3.09426,20008,11796.5,9877,15708,0,2921,7037,4541,2633,2271
OBS100124,4.39432,20638,18812.5,17746,24640,3642,3043,0,5315,8231,6125
OBS100125,3.39595,24223,10782.5,13676,24910,1811,3152,5676,4615,3904,4300
OBS100126,8.0191,5654,10219.5,4564,16362,0,0,0,2371,3283,0
OBS100127,1.7946,16232,15804.5,5884,15496,4142,0,0,0,7954,3493
OBS100128,2.49876,32132,12920,17269,32757,3147,3043,9726,5740,4879,5029
OBS100129,3.27795,17273,6155.5,8198,16278,3037,2545,4770,3765,0,2645
OBS100130,2.85939,28590,14857.5,16913,21444,2539,2976,6545,3957,8285,3547
OBS100131,9.76926,5504,14158,11458,14405,0,0,0,0,0,5504
OBS100132,6.18114,14690,0,0,0,3956,1798,0,5814,0,2904
OBS100133,2.75558,25501,11329,9659,12657,3565,0,9598,0,7599,4739
OBS100134,2.93704,23299,10996,9244,27117,3318,1138,7042,2775,4728,3841
OBS100135,3.56153,18806.55,14491.5,6124,16220,3108,2879,3593,2386,3912,2618.62
OBS100136,3.88164,16104,12932,15626,18162,4976,1670,686,0,8470,5147
OBS100137,4.98454,11965,,8895,11104,4952,1623,0,5006,0,0
OBS100138,3.21972,25343.83,12532.5,11416,27404,3284,2386,5006,4220,5835,4613
OBS100139,22.27637,2873,6932,11022,27215,3740,2618,6338,2873,6129,4336.33
OBS100140,3.43619,25441,20124,15787,31188,2568,0,8719,5326,7898,3287
OBS100141,10.04667,5143,7686,14812,16141,0,0,0,4573,4,6178
OBS100142,2.62886,27723,10903,15629,28061,5208,334,8946,2973,5738,3844
OBS100143,3.11436,20977,4925,16129,17327,1955,2332,0,5561,6299,4179
OBS100144,2.87017,27312,11838,16465,23377,4171,0,7382,5748,5139,4636
OBS100145,2.39898,29770.93,11627,9983,21260,4756.75,0,9548.76,4784.76,4005.54,6195.12
OBS100146,3.68034,19954.7,13741.5,11985,20610,2642,2803,4011,3959,5994,0
OBS100147,3.01204,22589.31,13491,,25509,1821.6,1759.95,5986.44,4954.95,6005.79,1492.98
OBS100148,3.70452,20936.57,12980.5,4007,15653,3427,1566,5781,3257,4076,2549
OBS100149,2.56109,30612,16407.5,14839,32672,4671,2851,9428,4176,6687,2293
OBS100150,2.99408,23316,7986.5,7213,24260,4184,2893,5425,4669.02,5045,530
OBS100151,3.2073,21201.65,9255.5,16086,,4283,0,3782,4318,5166,3052
OBS100152,2.65734,27885,7823.5,8580,29549,3412,1149,8954,3507,7710,2710
OBS100153,6.9034,6097,8386.5,16711,16412,3084,1001,0,0,0,2012
OBS100154,3.55698,21656,14954.5,10426,14930,3281,1158,5002,2321,7213,2263
OBS100155,8.07164,8152,17798.5,14983,24362,0,2556,0,2554,3042,0
OBS100156,3.27045,9754,0,17227,7457,4421,0,0,0,0,5333
OBS100157,4.01791,12621,4552,0,12539,3469,0,1861,4438,2853,0
OBS100158,3.32668,21553,10371.5,5855,26128,3151,932,5267,4490,2797,4916
OBS100159,3.94182,15640,9918.5,13770,14923,3277,983,3839,2883,0,4018
OBS100160,31.43371,1667,2039,4984,16374,3420,639,6884,1667,4123,4475
OBS100161,8.86125,7034,18533.5,9469,14567,0,0,0,2601,0,4433
OBS100162,3.67583,19854,14964,36067,24250,1874,0,0,4938,7706,5336
OBS100163,20.9596,3568.77,11946,13596,23078,3817.6,1096.58,8251.2,3568.77,6215.58,1597.6
OBS100164,4.85392,13760,16112,15606,17710,4780,637,0,4652,0,3202
OBS100165,7.98338,8544,21144,9904,15118,2137,967,0,5295,0,4936.8
OBS100166,5.05482,13589,16640.5,14423,13873,4513,0,0,4714,0,4212
OBS100167,3.1457,25333,16405.5,11587,21942,4775,2735,9182,4721,3538,4805
OBS100168,4.40169,18152.11,16113,18825,20244,4127,0,0,4541,8018,903
OBS100169,13.43041,3880,15994.5,18310,12011,0,0,0,0,3880,0
OBS100170,7.20248,6445,6815,16674,12325,0,0,674,5284,0,2252.6
OBS100171,3.0009,18351.17,4403.5,11450,25782,3215,0,4187,0,6772,3662.4
OBS100172,2.52774,29382,9493,12308,30747,4491,3167,9083,4853,5638,2150
OBS100173,3.02354,21068,1605.5,6157,14201,3370,2961,516,4042,4456,5275
OBS100174,3.00122,26216,8187.5,14807,25218,3823,2728,6654,4968,7774,2186
OBS100175,4.4845,17061,18573.5,7589,27771,4486,0,0,4879,7467,5306
OBS100176,5.61567,6229,5795.5,11234,10834,3631,2598,0,0,0,0
OBS100177,24.96235,2656,12759,9093,18159,3542,799,6655,2656,5191,3332
OBS100178,3.24447,24269,10813,17678,22589,2772,2608,10127,3980,4782,2772
OBS100179,8.99223,7333,14515.5,9833,9801,4791,1419,11,314,486,4358
OBS100180,5.49055,15075,20190,659,17782,4447,2049,0,2876,0,5003
OBS100181,3.22285,24649,11681,11785,24601,1891,2652,4751,5829,3760,5304
OBS100182,4.03666,21550,14223,11836,25104,4629,2133,3217,4089,6383,995
OBS100183,2.54754,24926,6828.5,7212,27410,0,878,9472,2443,6327,5193
OBS100184,2.91699,28382,15783,15121,29324,3354,1704,9135,5206,8527,5102
OBS100185,6.49211,11184.35,18532.5,13087,15879,0,1911,0,3413,5860,0
OBS100186,8.09184,6577,15728.5,14371,15760,3855,2722,0,0,0,0
OBS100187,19.46727,2215,3604.5,16226,20143,0,2215,0,0,0,0
OBS100188,1.18925,26706,10240.5,14684,26653,3023,2526,8873,5489,6458,0
OBS100189,3.26063,27234,18723,14786,33479,3610,2972,8813,3119,7973,5372
OBS100190,3.26854,25516,19874,15647,29670,4708,1402,9247,5156,4253,4649
OBS100191,2.33762,31361,12997,15171,30007,4244,2009,10012,5430,4407,4764
OBS100192,41.42012,1352,10206.5,7742,15986,0,637,0,1352,1838,312.31
OBS100193,2.8989,29425,16679.5,15355,29622,411.6666667,1357,9588,3784,7811,4176
OBS100194,2.26799,29621,12346,13294,25573,4576,2583,9118,4580,3416,4988
OBS100195,2.9136,26596,11867,12199,22491,2145,1465,9662,5607,7750,756
OBS100196,2.79137,28237,13653.5,13624,29495,4788,1252,10045,4679,7236,3799
OBS100197,6.27139,10870,11175,11045,19918,3696,1104,0,5502,0,2180
OBS100198,69.07104,915,8523,9474,20717,2269,679,4777,915,4990,2464
OBS100199,3.02389,24657,11397.5,18672,26875,4823,0,9388,2770,7196,4240
OBS100200,2.30537,28759,11561,11520,18204,3288,1645,8954,2661,6534,4416
OBS100201,4.06374,19957,7440,8079,25206,2107,2209,8859,4561,0,5514
OBS100202,3.76345,20351,19082.5,4431,17134,4616,1398,5737,2654,4904,1042
OBS100203,2.67727,23270,6122.5,13042,17945,2467,1025,4397,4529,7941,2528
OBS100204,4.53916,16611,12638,8584,21401,5200,700,1500,4500,3150,1240
OBS100205,2.53007,27272,14035,16302,30546,3719,0,9180,3541,8053,2500
OBS100206,2.21107,31781,12299,7092,28633,2978,2687,8293,4563,7132,5650
OBS100207,3.48699,20132,16910,,22568,2263,1316,4326,4523,5343,1898
OBS100208,3.15984,25400,11757,13149,32290,4822,2016,7550,5629,5016,5923
OBS100209,2.87821,30724,14015,12495,28659,2854,2353,7547,5219,7360,4657
OBS100210,3.15888,24572,19871,18259,18025,3285,0,7496,5558,8233,0
OBS100211,2.20674,34372,11950,11198,26346,4714,3263,9658,4224,8385,3546
OBS100212,3.5886,24792.37,18195,,27694,4744.56,1037.54,0,5244.03,7968.24,5381
OBS100213,21.77689,2994,6906,15172,28473,3539,980,9229,2994,0,3008
OBS100214,8.35854,6811,7884.5,7195,6183,0,1198,0,5613,0,0
OBS100215,3.4918,22066,10897,7556,21060,2622,0,9550,5837,3811,5360.48
OBS100216,4.64491,12194,7346.5,15000,14586,5364,1570,0,2710,0,1914
OBS100217,2.54081,28975,11088,8781,17198,3468,3083,8314,3999,8394,1251
OBS100218,3.08437,15290,10593,11640,1821,4293,2657,0,3797,0,4358
OBS100219,2.94288,22495,13120,5389,17467,2176,2611,6888,3876,6348,0
OBS100220,5.87805,8096.22,11055,16932,15479,2074,0,0,0,6022,0
OBS100221,4.60328,14309.35,13690.5,15834,18196,1451,0,0,4517,6299,2041.93
OBS100222,4.45248,17742.93,17785.5,11205,22277,3825,2255,0,4775,6888,0
OBS100223,4.31058,15796,16641,13576,16023,226,2303,0,5557,7425,0
OBS100224,2.99522,26265.15,12339,10519,29346,2148,1515,6540,4838,6431,4156.15
OBS100225,2.74313,24658,8588,9390,18094,0,1583,8805,2374,6513,4759
OBS100226,2.97093,22461,7532.5,8673,19212,2336,1224,4848,5784,7992,927
OBS100227,5.80282,14038,13174,11051,16710,3330,259,9042,5276,0,3699
OBS100228,2.52511,24894,10443,4930,15187,1964,1124,8024,5475,7988,2883
OBS100229,5.38086,7168,1934.5,54,4877,2269,1851,0,1754,0,517
OBS100230,3.65679,19580,14142.5,10930,14734,1969,2222,1324,5988,7631,6214
OBS100231,2.63545,26910,13119.5,9738,23777,0,2598,9213,4004,6903,3600
OBS100232,4.41527,11439.84,7269.5,7881,13694,4092.66,674,0,716.38,0,5332.8
OBS100233,1.71683,5848,14044.5,16229,14921,0,0,0,0,5848,0
OBS100234,2.90732,24686,11995,8516,28935,4686,0,7761,3663,8021,5365
OBS100235,7.78849,6638,9789,397,18482,1427,0,0,1850,3361,0
OBS100236,9.72009,6502,18552.5,12803,20566,0,0,698,5077,51,5808
OBS100237,2.75008,29730,8994.5,11533,27838,3254,1790,8923,5821,3756,5804
OBS100238,2.0788,,5074,5872,18578,3004,2046,6445,5677,8150,4557
OBS100239,7.02904,8610,14573,11705,18350,3645,2358,0,0,0,2607
OBS100240,3.69604,15798,7120,10424,17220,2909,0,0,4050,6977,1862
OBS100241,2.88642,25613,16683,12699,14777,3615,1224,8922,2509,6782,2561
OBS100242,4.33376,17066,21544.5,16526,20058,4212,0,0,4496,8358,0
OBS100243,2.68419,26209,1245.5,12414,30464,3061,2741,6899,5629,7669,3008.49
OBS100244,2.81428,24962,8976.5,13383,23402,3435,2326,8945,2675,6957,0
OBS100245,2.78856,28911,12433.5,15123,33684,3167,2570,9852,5673,7262,2967
OBS100246,8.64421,6879,0,0,0,752,2362,0,2188,0,1217
OBS100247,6.77064,7181,7417,11260,18834,0,0,0,2110,2702,2366
OBS100248,2.56775,24722,9377,7936,14933,4919,0,6484,6156,7163,0
OBS100249,6.62208,10018,15184,12020,14110,2481,2462,0,4462,0,5557
OBS100250,4.92099,10239.8,10502.5,13255,8727,3369,0,0,1802,0,5068.8
OBS100251,5.36995,12015,4067,14066,26736,4596,2000,0,5419,0,0
OBS100252,3.7863,22452,13482.5,7651,26950,249.4615385,2215,4074,4938,7440,2282.28
OBS100253,3.34872,20963.24,,12669,20814,3769,0,7150,3988,4489,1028
OBS100254,3.91264,8585,2952,1093,15667,2889,0,0,0,5696,0
OBS100255,2.41271,25233,5717.5,9182,32167,2110,2753,7033,5146,7606,0
OBS100256,2.94744,28462,13503.5,16035,22277,2366,1623,6244,5221,7233,5227
OBS100257,2.78244,27192,14065,12825,,3969,2499,5907,4243,6749,3197
OBS100258,3.01205,23406,10333.5,7439,25053,3970,1796,8847,4753,3208,5663
OBS100259,34.4968,1719,7361.5,4601,15509,3984,2002,6177,1719,3809,1583
OBS100260,9.25566,3090,2427,5917,8545,3090,0,0,0,0,0
OBS100261,5.80096,13153,15634,5976,17035,3879,845,0,4244,4186,0
OBS100262,3.28055,27175.36,17647.5,10806,25728,2385,3112,4892,4276,5944,6432.36
OBS100263,2.9191,27714,19705.5,15505,26929,4014,589,6890,4255,7173,4793
OBS100264,3.76499,19097,10854,11658,26355,3354,2209,3432,4158,5768,0
OBS100265,3.70061,21918,14358.5,13338,19769,4389,2831,0,3881,7608,3209
OBS100266,3.46893,18732,11264,11395,19743,3705,1904,3338,4550,5235,3705
OBS100267,3.10919,29654,18399,16825,31717,4610,2462,9647,3382,8840,4673
OBS100268,2.43105,27338,6167,12947,26823,4595,1916,9399,5283,5627,0
OBS100269,2.98332,22056,12796,5819,20763,5059,2961,0,5170,2675,6191
OBS100270,4.09449,14837,14526,15902,17546,4351,0,0,5628,0,4858
OBS100271,18.75,4144,11086,11102,21083,195,2594,7104,4144,2860,4254
OBS100272,8.13016,9450,18963,15854,21903,4610,1064,0,3217,0,0
OBS100273,4.13264,14671,14617.5,18113,20272,4109,951,9037,0,105,5353.56
OBS100274,2.25616,24165,6084.5,4244,9798,0,2367,5729,5035,5814,4740
OBS100275,6.84124,13735.81,18783.5,15542,34350,2549,2734,0,4434,0,3420.81
OBS100276,83.36554,621,14085,13999,14687,0,0,0,0,157,3551
OBS100277,2.95508,24155,13149,5077,25132,3598,2179,7303,5172,5433,0
OBS100278,2.53622,27265,7527,11140,17998,3866,2495,6104,3604,6917,4251
OBS100279,2.97204,25787,13188.5,5271,26487,2117,2368,9654,4796,3816,2933
OBS100280,2.27045,32553,8876,11645,40803,3842,3208,10433,4834,6111,3589
OBS100281,2.63274,29042,12626.5,4900,23848,3805,2475,9007,5440,4802,2919
OBS100282,2.77687,31359,14027,13244,28585,3561,2518,10488,6138,8279,5668
OBS100283,2.95119,18562,5962,4011,12998,2464,1989,625,5773,7233,3460
OBS100284,2.45656,29846.62,8088.5,17772,27368,5037.28,504,8423.64,5702.22,6817.32,3362.16
OBS100285,3.85967,17138.77,13509.5,6571,23639,2259,1264,0,2843,8053,2302
OBS100286,2.61483,28694,9796,8865,30904,1782,2255,6951,5558,6833,4712
OBS100287,2.83376,25655,14647.5,11854,18865,4415,1038,7048,4990,7416,3062
OBS100288,6.16034,11363,19162,20735,21784,0,0,0,3664,7699,0
OBS100289,4.76431,15656,15536,17190,18685,0,0,2933,4488,5859,2206
OBS100290,3.1403,24711,15321.5,8965,22587,3511,1875,6458,2778,5404,3236
OBS100291,49.95881,1214,12981,8920,14659,0,0,623,0,0,6420
OBS100292,2.6407,20078,3245.5,8369,15281,1629,820,5098,3924,5788,2556
OBS100293,1.53204,20600,13435.5,13249,22889,3371,2591,0,4985,5412,3610
OBS100294,3.14974,24021,15580,16246,24612,4610,2906,0,4633,6608,5099
OBS100295,4.13238,17254,12936,16966,19773,4227,733,0,5281,7013,0
OBS100296,8.12534,5489,9346,0,8785,3340,0,0,0,2149,0
OBS100297,3.59835,23747,15362,3881,19773,2970,3030,4533,5506,3396,3656
OBS100298,3.92252,20650,15200,12598,27950,4663,2481,0,5618,7888,0
OBS100299,2.67728,28637.23,11305,13088,25297,3259,2906,9102,5001,4494,3263
OBS100300,44.43907,1487.43,10332,14228,19753,3158.1,2453.88,7181.64,1487.43,4956.66,1024.53
OBS100301,4.41622,19234.68667,12439,8401,21282,3147.33333,455,5507.33333,3759.33333,4816,1353.35333
OBS100302,2.50536,29869.93882,8013.237814,14129.59834,28787.15081,4750.942336,2083.610458,10429.5953,5324.778013,7189.078983,1554.598412
OBS100303,3.86738,17155.5,16199.25,22429,20235.5,937,1379.5,0,5123,7047.5,2668
OBS100304,2.71806,27320.68848,7197.725261,11608.53294,28032.87198,3560.786354,2840.984049,10504.17885,933.1083483,6479.656652,1974.858481
OBS100305,3.57234,22754.91502,18720.54843,17128.21965,27556.04515,4590.606142,2009.492399,6972.66884,3361.271707,6677.269979,6310.83898
OBS100306,2.22803,30158.0467,2863.688117,10141.81835,12543.99901,2905.528673,2722.656911,6477.426408,5360.212854,5090.523104,6873.50374
OBS100307,3.15984,25289.21576,11937.84013,13583.38987,31706.74247,5732.024453,1825.013253,8659.132859,5927.634215,5398.958304,6270.296622
OBS100308,37.85603,2194.288472,11281.38628,4452.682873,20802.34139,4155.327539,815.9873553,9593.127143,2252.682996,6893.174759,3830.020414
OBS100309,2.52774,29369.67379,,12334.60944,30709.09513,4466.181121,3019.222562,9204.853165,4903.200114,5543.113754,2324.068771
OBS100310,2.9136,26507.30843,11766.63052,12280.49875,22533.44123,2114.556956,1476.00009,9563.104861,5612.448629,7787.564599,834.1721274
OBS100311,3.35024,19594.70673,16997.86736,15020.78711,24160.71964,20.71228665,37.09028924,8095.604115,3250.910264,7110.844274,1073.767239
OBS100312,30.37089,2920.086729,19088.0457,6231.010148,27290.68201,2208.094907,2796.614934,5849.660839,2923.084287,6271.639409,2837.912456
OBS100313,2.77169,26283.02587,15904.43342,14756.21754,39485.94432,5621.826546,2398.680152,7803.253582,3840.255559,5699.855671,29.60099416
OBS100314,2.54081,28912.03712,10878.74206,8432.063579,17072.9021,3494.84503,3350.891464,8051.767521,4173.643633,8736.056204,725.2154953
OBS100315,3.00504,21011.33333,10627.16667,8141.66667,,3006.66667,1514.66667,3800,5658.66667,6592.66667,2588.66667
OBS100316,3.7863,22472.47931,13490.09926,7681.047011,26885.67335,3203.279906,2032.209531,4129.248642,4963.228288,7462.195758,2285.950391
OBS100317,3.08295,23081.16187,6111.72539,16799.61513,22899.87796,1871.407017,2775.983748,3541.174524,4918.344227,7434.901072,2002.37694
OBS100318,2.36683,30548.59858,17015.87573,16766.39518,33743.74552,2884.684874,4120.280528,6788.853932,4598.970353,8452.047227,3004.053538
OBS100319,3.10919,29904.69885,18507.20184,17179.00617,31553.68781,4658.354304,2401.83672,9592.292729,3272.737357,8872.367725,4577.966083
OBS100320,3.87739,16644.22696,25938.75799,19120.54657,21170.84756,3381.283101,1996.692795,1335.603254,4286.398071,6027.235518,110.1601822
OBS100321,2.56649,26301.72058,11664.49263,9446.928756,21451.21849,4775.604721,941.4100252,9209.057082,5473.41156,8039.018298,2354.663569
